surface,count,year_counts,context_count,first_context
scientific,34,"{""2020"": 15, ""2022"": 2, ""2023"": 5, ""2025"": 5, ""2026"": 7}",10,Scientific publishing has long been a licence to print money.
make,34,"{""2020"": 5, ""2021"": 2, ""2022"": 8, ""2023"": 3, ""2024"": 4, ""2025"": 3, ""2026"": 9}",10,"More than half of all British scientific research is now published under open access terms: either freely available from the moment of publication, or paywalled for a year or more so that the publishers can make a profit before being placed on general release."
years,33,"{""2020"": 2, ""2021"": 5, ""2022"": 3, ""2023"": 2, ""2024"": 5, ""2025"": 5, ""2026"": 11}",10,"Instead, the digital services tax is part of a much larger trend, with countries over the past few years proposing or putting in place an alphabet soup of new international tax provisions."
says,33,"{""2020"": 2, ""2021"": 10, ""2022"": 3, ""2023"": 5, ""2024"": 4, ""2025"": 6, ""2026"": 3}",10,"In fact, poverty alleviation and environmental protection are often viewed as conflicting goals, says Paul Ferraro, an economist at Johns Hopkins University."
need,33,"{""2020"": 3, ""2021"": 2, ""2022"": 5, ""2023"": 5, ""2024"": 5, ""2025"": 6, ""2026"": 7}",10,"Scientists need journals in which to publish their research, so they will supply the articles without monetary reward."
digital,33,"{""2020"": 11, ""2021"": 1, ""2023"": 2, ""2024"": 1, ""2025"": 16, ""2026"": 2}",10,"Last Thursday, the French Senate passed a digital services tax, which would impose an entirely new tax on large multinationals that provide digital services to consumers or users in France."
way,32,"{""2020"": 4, ""2021"": 2, ""2022"": 4, ""2023"": 7, ""2024"": 8, ""2025"": 4, ""2026"": 3}",10,Progressives often support diversity mandates as a path to equality and a way to level the playing field.
it's,31,"{""2020"": 1, ""2021"": 1, ""2022"": 6, ""2023"": 4, ""2024"": 5, ""2025"": 6, ""2026"": 8}",0,
said,31,"{""2020"": 1, ""2021"": 2, ""2022"": 5, ""2023"": 7, ""2024"": 5, ""2025"": 6, ""2026"": 5}",10,"Whether you're a politician or a parent, it might be helpful to keep in mind that trying to maintain eye contact may backfire if you're trying to convince someone who has a different set of beliefs than you, said Minson."
researchers,30,"{""2020"": 4, ""2021"": 1, ""2022"": 3, ""2023"": 3, ""2024"": 6, ""2025"": 8, ""2026"": 5}",10,"The success of Sci-Hub, which relies on researchers passing on copies they have themselves legally accessed, shows the legal ecosystem has lost legitimacy among its users and must be transformed so that it works for all participants."
world,29,"{""2020"": 4, ""2021"": 3, ""2022"": 3, ""2023"": 1, ""2024"": 4, ""2025"": 7, ""2026"": 7}",10,"A cynic might speculate that the UK is on the verge of disappearing into an endless fever of self-celebration in its desperation to reinvent itself for the post-Brexit world: after town of culture, who knows what will follow—village of culture?"
now,28,"{""2020"": 4, ""2021"": 4, ""2022"": 2, ""2023"": 3, ""2024"": 6, ""2025"": 6, ""2026"": 3}",10,"The most drastic, and thoroughly illegal, reaction has been the emergence of Sci-Hub, a kind of global photocopier for scientific papers, set up in 2012, which now claims to offer access to every paywalled article published since 2015."
according,28,"{""2020"": 4, ""2021"": 3, ""2022"": 4, ""2023"": 2, ""2024"": 7, ""2025"": 6, ""2026"": 2}",4,"According to a study by Catalyst, between 2010 and 2015 the share of women on the boards of global corporations increased by 54 percent."
public,27,"{""2020"": 1, ""2021"": 1, ""2022"": 6, ""2023"": 5, ""2024"": 3, ""2025"": 4, ""2026"": 7}",10,"Board members like her casually dismiss the career work of scholars and scientists as just another misguided opinion, says Dan Quinn, senior communications strategist at the Texas Freedom Network, a non-profit group that monitors public education."
author,27,"{""2020"": 4, ""2021"": 4, ""2022"": 6, ""2023"": 4, ""2024"": 2, ""2025"": 5, ""2026"": 2}",4,"There are experiments that show that, naturally, the results of interviews are much more biased than what AI does, says Pedro Domingos, author of The Master Algorithm: How the Quest for the Ultimate Learning Machine Will Remake Our World and a computer science professor at the University of Washington."
help,27,"{""2020"": 3, ""2021"": 6, ""2022"": 5, ""2023"": 2, ""2024"": 3, ""2025"": 3, ""2026"": 5}",10,But all too often such policies are an insincere form of virtue-signaling that benefits only the most privileged and does little to help average people.
year,26,"{""2020"": 8, ""2021"": 2, ""2022"": 1, ""2023"": 6, ""2024"": 1, ""2025"": 5, ""2026"": 3}",10,"A group of Labour MPs, among them Yvette Cooper, are bringing in the new year with a call to institute a UK town of culture award."
well,26,"{""2020"": 3, ""2021"": 4, ""2022"": 6, ""2023"": 3, ""2024"": 4, ""2025"": 5, ""2026"": 1}",10,"It is hard to get right, and requires a remarkable degree of vision, as well as cooperation between city authorities, the private sector, community groups and cultural organisations."
study,26,"{""2020"": 3, ""2021"": 8, ""2022"": 2, ""2023"": 2, ""2024"": 1, ""2025"": 6, ""2026"": 4}",10,"According to a study by Catalyst, between 2010 and 2015 the share of women on the boards of global corporations increased by 54 percent."
services,26,"{""2020"": 11, ""2021"": 5, ""2023"": 1, ""2024"": 1, ""2025"": 6, ""2026"": 2}",10,"Last Thursday, the French Senate passed a digital services tax, which would impose an entirely new tax on large multinationals that provide digital services to consumers or users in France."
education,26,"{""2021"": 8, ""2022"": 6, ""2023"": 5, ""2025"": 2, ""2026"": 5}",7,"But after the war, great social and political changes arising out of the successful war against Fascism created a growing demand in European and American economies for increasing numbers of graduates with more than a secondary school education."
used,25,"{""2020"": 2, ""2021"": 2, ""2022"": 2, ""2023"": 6, ""2024"": 5, ""2025"": 4, ""2026"": 4}",10,"Such actions to seek knowledge and to understand what information we already knew were captured by the Latin phrase 'sapere aude' or 'dare to know', after Immanuel Kant used it in his essay An Answer to the Question: What is Enlightenment?."
like,25,"{""2020"": 4, ""2021"": 5, ""2022"": 2, ""2023"": 5, ""2024"": 2, ""2025"": 2, ""2026"": 5}",10,"A badly run year of culture washes in and out of a place like the tide, bringing prominence for a spell but leaving no lasting benefits to the community."
social,25,"{""2020"": 5, ""2021"": 7, ""2022"": 2, ""2023"": 4, ""2024"": 2, ""2025"": 1, ""2026"": 4}",10,"In some ways the scientific publishing model resembles the economy of the social internet: labour is provided free in exchange for the hope of status, while huge profits are made by a few big firms who run the market places."
different,25,"{""2020"": 4, ""2021"": 4, ""2022"": 3, ""2023"": 1, ""2024"": 6, ""2025"": 4, ""2026"": 3}",10,"With the use of eye-tracking technology, Minson of the Harvard Kennedy School of Government concluded that eye contact can signal very different kinds of messages, depending on the situation."
animals,25,"{""2022"": 18, ""2026"": 7}",10,Both the wildlife park and zoo claimed to be operating for the benefit of the animals and for conservation purposes.
artifacts,25,"{""2022"": 4, ""2024"": 14, ""2025"": 7}",10,"Joana Lia Ferreira, an assistant professor of conservation and restoration at the NOVA School of Science and Technology, notes that archaeologists first defined the great material ages of human history—Stone Age, Iron Age, and so on—after examining artifacts in museums."
tax,24,"{""2020"": 21, ""2026"": 3}",10,"Last Thursday, the French Senate passed a digital services tax, which would impose an entirely new tax on large multinationals that provide digital services to consumers or users in France."
countries,24,"{""2020"": 7, ""2021"": 3, ""2022"": 1, ""2024"": 12, ""2026"": 1}",10,"Instead, the digital services tax is part of a much larger trend, with countries over the past few years proposing or putting in place an alphabet soup of new international tax provisions."
two,24,"{""2020"": 1, ""2021"": 3, ""2022"": 3, ""2023"": 3, ""2024"": 8, ""2025"": 5, ""2026"": 1}",10,"When more and more of us have a degree, it makes sense to have two."
best,22,"{""2020"": 2, ""2021"": 3, ""2022"": 3, ""2023"": 1, ""2024"": 5, ""2025"": 5, ""2026"": 3}",5,"There are also companies like Acquisio, which analyzes advertising performance across multiple channels like Adwords, Bing and social media and makes adjustments or suggestions about where advertising funds will yield best results."
culture,22,"{""2020"": 13, ""2021"": 1, ""2022"": 2, ""2024"": 3, ""2025"": 1, ""2026"": 2}",10,"A group of Labour MPs, among them Yvette Cooper, are bringing in the new year with a call to institute a UK town of culture award."
good,22,"{""2020"": 1, ""2021"": 2, ""2022"": 4, ""2023"": 2, ""2024"": 7, ""2025"": 2, ""2026"": 4}",10,The really successful holders of such titles are those that do a great deal more than fill hotel bedrooms and bring in high-profile arts events and good press for a year.
state,22,"{""2020"": 4, ""2021"": 4, ""2023"": 8, ""2024"": 5, ""2025"": 1}",10,"A pair of bills sponsored by Massachusetts state Senator Jason Lewis and House Speaker Pro Tempore Patricia Haddad, to ensure gender parity on boards and commissions, provide a case in point."
data,22,"{""2020"": 1, ""2021"": 6, ""2022"": 2, ""2023"": 7, ""2024"": 2, ""2025"": 4}",10,"Digital services include everything from providing a platform for selling goods and services online to targeting advertising based on user data, and the tax applies to gross revenue from such services."
words,22,"{""2020"": 4, ""2021"": 2, ""2022"": 3, ""2023"": 3, ""2024"": 2, ""2025"": 6, ""2026"": 2}",5,"Many French politicians and media outlets have referred to this as a GAFA tax, meaning that it is designed to apply primarily to companies such as Google, Apple, Facebook and Amazon—in other words, multinational tech companies based in the United States."
climate,22,"{""2021"": 1, ""2022"": 3, ""2023"": 9, ""2024"": 1, ""2025"": 3, ""2026"": 5}",8,"There are as many scientists working against all the panic of global climate change as there are those who are pushing it, she claims."
artists,22,"{""2022"": 14, ""2023"": 1, ""2024"": 6, ""2025"": 1}",10,These were some of the words that Nature readers used to describe their experience of art-science collaborations in a series of articles on partnerships between artists and researchers.
found,21,"{""2020"": 3, ""2021"": 4, ""2022"": 3, ""2024"": 5, ""2025"": 3, ""2026"": 3}",10,Neuroscientist Bonnie Auyeung found that the hormone oxytocin increased the amount of eye contact from men toward the interviewer during a brief interview when the direction of their gaze was recorded.
local,21,"{""2020"": 2, ""2021"": 4, ""2022"": 1, ""2023"": 7, ""2024"": 2, ""2025"": 2, ""2026"": 3}",6,"A distressed animal in a zoo will get as good or better treatment than most of us at our local hospital.: As a fellow environmentalist, animal-protection advocate and longtime vegetarian, I could properly be in the same camp as Emma Marris on the issue of zoos."
last,21,"{""2020"": 4, ""2021"": 3, ""2022"": 3, ""2023"": 5, ""2024"": 2, ""2025"": 2, ""2026"": 2}",6,A report last year pointed out that the costs both of subscriptions and of these article preparation costs had been steadily rising at a rate above inflation.
companies,21,"{""2020"": 8, ""2021"": 11, ""2024"": 2}",10,"The bills are similar to a measure recently adopted in California, which last year became the first state to require gender quotas for private companies."
technology,21,"{""2020"": 1, ""2021"": 1, ""2022"": 5, ""2024"": 4, ""2025"": 5, ""2026"": 5}",9,"With the use of eye-tracking technology, Minson of the Harvard Kennedy School of Government concluded that eye contact can signal very different kinds of messages, depending on the situation."
information,21,"{""2020"": 1, ""2021"": 1, ""2023"": 3, ""2024"": 2, ""2025"": 13, ""2026"": 1}",10,"Such actions to seek knowledge and to understand what information we already knew were captured by the Latin phrase 'sapere aude' or 'dare to know', after Immanuel Kant used it in his essay An Answer to the Question: What is Enlightenment?."
art,20,"{""2020"": 1, ""2022"": 4, ""2024"": 11, ""2026"": 4}",8,Such an approach can both prompt new research as well as result in powerful art.
ways,20,"{""2020"": 5, ""2021"": 3, ""2023"": 2, ""2024"": 4, ""2025"": 4, ""2026"": 2}",10,In some ways it has been very successful.
first,20,"{""2020"": 1, ""2021"": 3, ""2022"": 5, ""2023"": 3, ""2024"": 3, ""2025"": 1, ""2026"": 4}",10,"The bills are similar to a measure recently adopted in California, which last year became the first state to require gender quotas for private companies."
history,20,"{""2020"": 1, ""2022"": 4, ""2024"": 6, ""2025"": 1, ""2026"": 8}",7,"The US Supreme Court frowns on sex-based classifications unless they are designed to address an important policy interest, Because the California law applies to all boards, even where there is no history of prior discrimination, courts are likely to rule that the law violates the constitutional guarantee of equal protection."
energy,20,"{""2021"": 3, ""2022"": 1, ""2023"": 5, ""2024"": 3, ""2025"": 8}",9,"Saving customers money Energy companies can use AI to help customers reduce their electricity bills, saving them money while helping the environment."
zoos,19,"{""2022"": 19}",10,Animals despise being captives in zoos.
great,18,"{""2020"": 6, ""2021"": 2, ""2022"": 3, ""2024"": 1, ""2025"": 5, ""2026"": 1}",10,The really successful holders of such titles are those that do a great deal more than fill hotel bedrooms and bring in high-profile arts events and good press for a year.
made,18,"{""2020"": 4, ""2021"": 1, ""2022"": 1, ""2023"": 3, ""2024"": 2, ""2025"": 4, ""2026"": 3}",10,"In some ways the scientific publishing model resembles the economy of the social internet: labour is provided free in exchange for the hope of status, while huge profits are made by a few big firms who run the market places."
degree,18,"{""2020"": 1, ""2021"": 1, ""2022"": 15, ""2026"": 1}",8,"It is hard to get right, and requires a remarkable degree of vision, as well as cooperation between city authorities, the private sector, community groups and cultural organisations."
find,18,"{""2020"": 1, ""2021"": 2, ""2022"": 2, ""2023"": 2, ""2024"": 3, ""2025"": 5, ""2026"": 3}",8,"With the content of papers secured for free, the publisher needs only to find a market for its journal."
often,18,"{""2020"": 3, ""2021"": 5, ""2022"": 3, ""2024"": 4, ""2025"": 2, ""2026"": 1}",10,Progressives often support diversity mandates as a path to equality and a way to level the playing field.
eye,18,"{""2020"": 17, ""2026"": 1}",7,"In a social situation, eye contact with another person can show that you are paying attention in a friendly way."
contact,18,"{""2020"": 16, ""2022"": 1, ""2023"": 1}",9,"In a social situation, eye contact with another person can show that you are paying attention in a friendly way."
paper,18,"{""2023"": 2, ""2024"": 3, ""2025"": 1, ""2026"": 12}",4,These journals can act as milk cows where every single article in an issue may cite a specific paper or a series of papers.
few,17,"{""2020"": 6, ""2021"": 2, ""2022"": 3, ""2024"": 1, ""2025"": 2, ""2026"": 3}",10,"In some ways the scientific publishing model resembles the economy of the social internet: labour is provided free in exchange for the hope of status, while huge profits are made by a few big firms who run the market places."
high,17,"{""2020"": 5, ""2021"": 4, ""2023"": 4, ""2024"": 1, ""2025"": 1, ""2026"": 2}",10,"In people who score high in a test of neuroticism, a personality dimension associated with self-consciousness and anxiety, eye contact triggered more activity associated with avoidance, according to the Finnish researcher Jari Hietanen and colleagues."
since,17,"{""2020"": 2, ""2021"": 2, ""2022"": 1, ""2023"": 3, ""2024"": 3, ""2025"": 3, ""2026"": 3}",8,"The most drastic, and thoroughly illegal, reaction has been the emergence of Sci-Hub, a kind of global photocopier for scientific papers, set up in 2012, which now claims to offer access to every paywalled article published since 2015."
place,17,"{""2020"": 2, ""2022"": 1, ""2023"": 3, ""2024"": 6, ""2025"": 2, ""2026"": 3}",10,"A badly run year of culture washes in and out of a place like the tide, bringing prominence for a spell but leaving no lasting benefits to the community."
number,17,"{""2020"": 2, ""2021"": 1, ""2023"": 8, ""2025"": 2, ""2026"": 4}",10,The number of women on corporate boards has been steadily increasing without government interference.
business,17,"{""2020"": 1, ""2021"": 1, ""2022"": 6, ""2023"": 1, ""2026"": 8}",5,"As countless boards and business owners will attest, constraining firms from firing poorly performing, high-earning managers is a handbrake on boosting productivity and overall performance."
role,17,"{""2020"": 2, ""2021"": 2, ""2022"": 3, ""2023"": 2, ""2024"": 3, ""2025"": 2, ""2026"": 3}",4,"More than half a century ago, the Massachusetts Institute of Technology opened its Center for Advanced Visual Studies (CAVS) to explore the role of technology in culture."
based,17,"{""2020"": 3, ""2021"": 3, ""2022"": 1, ""2023"": 1, ""2024"": 6, ""2025"": 2, ""2026"": 1}",8,"Digital services include everything from providing a platform for selling goods and services online to targeting advertising based on user data, and the tax applies to gross revenue from such services."
states,17,"{""2020"": 3, ""2021"": 1, ""2023"": 3, ""2024"": 3, ""2025"": 1, ""2026"": 6}",7,"Many French politicians and media outlets have referred to this as a GAFA tax, meaning that it is designed to apply primarily to companies such as Google, Apple, Facebook and Amazon—in other words, multinational tech companies based in the United States."
show,17,"{""2020"": 1, ""2021"": 7, ""2022"": 2, ""2024"": 1, ""2025"": 3, ""2026"": 3}",5,"In a social situation, eye contact with another person can show that you are paying attention in a friendly way."
donkeys,17,"{""2026"": 17}",8,"Now, researchers have used genomes of over 200 donkeys to trace their domestication back to a single event around 7,000 years ago in East Africa — about 3,000 years before humans tamed horses."
growth,16,"{""2020"": 1, ""2021"": 11, ""2022"": 2, ""2023"": 1, ""2026"": 1}",9,"In Indonesia, the program has provided enough food and medicine to substantially reduce severe growth problems among children."
university,16,"{""2020"": 3, ""2021"": 3, ""2022"": 3, ""2024"": 1, ""2025"": 2, ""2026"": 4}",9,"Until this century, university libraries were not very price sensitive."
international,16,"{""2020"": 9, ""2022"": 2, ""2023"": 2, ""2024"": 1, ""2025"": 1, ""2026"": 1}",7,"Instead, the digital services tax is part of a much larger trend, with countries over the past few years proposing or putting in place an alphabet soup of new international tax provisions."
future,16,"{""2020"": 1, ""2021"": 1, ""2022"": 5, ""2023"": 1, ""2024"": 2, ""2025"": 5, ""2026"": 1}",7,"We now live in an age of plastic, she says, and what we decide to collect today, what we decide to preserve... will have a strong impact on how in the future we'll be seen."
intelligence,16,"{""2021"": 8, ""2022"": 4, ""2023"": 1, ""2025"": 2, ""2026"": 1}",10,Here are a few ways AI is aiding companies without replacing employees: Better hiring practices Companies are using artificial intelligence to remove some of the unconscious bias from hiring decisions.
children,16,"{""2021"": 1, ""2022"": 2, ""2023"": 1, ""2024"": 9, ""2025"": 3}",10,"In Indonesia, the program has provided enough food and medicine to substantially reduce severe growth problems among children."
authors,16,"{""2022"": 1, ""2023"": 13, ""2026"": 2}",10,"In the meantime, PRH authors have been the losers."
nails,16,"{""2024"": 16}",8,"Nearly 2,000 years ago, as the Romans began to pull out of Scotland, they left behind a curious treasure: 10 tons of nails, nearly a million of the things."
support,15,"{""2020"": 3, ""2022"": 1, ""2023"": 6, ""2024"": 1, ""2025"": 2, ""2026"": 2}",8,Progressives often support diversity mandates as a path to equality and a way to level the playing field.
life,15,"{""2020"": 1, ""2021"": 3, ""2022"": 3, ""2024"": 2, ""2025"": 3, ""2026"": 3}",10,"When a faculty or department grows from, say, five to 20 members within three or four years, and when the new staff are predominantly young men and women fresh from postgraduate study, they largely define the norms of academic life in that faculty."
get,15,"{""2020"": 1, ""2021"": 3, ""2022"": 1, ""2024"": 2, ""2025"": 3, ""2026"": 5}",7,"It is hard to get right, and requires a remarkable degree of vision, as well as cooperation between city authorities, the private sector, community groups and cultural organisations."
example,15,"{""2020"": 1, ""2021"": 1, ""2022"": 1, ""2023"": 2, ""2024"": 5, ""2025"": 4, ""2026"": 1}",5,"For example, a high growth rate placed great strains on the existing structures of governance, of administration, and above all of socialization."
journals,15,"{""2020"": 1, ""2023"": 14}",10,"Scientists need journals in which to publish their research, so they will supply the articles without monetary reward."
needs,15,"{""2020"": 5, ""2021"": 3, ""2022"": 1, ""2023"": 4, ""2026"": 2}",8,"With the content of papers secured for free, the publisher needs only to find a market for its journal."
provide,15,"{""2020"": 2, ""2021"": 1, ""2022"": 1, ""2023"": 4, ""2024"": 4, ""2026"": 3}",10,"A pair of bills sponsored by Massachusetts state Senator Jason Lewis and House Speaker Pro Tempore Patricia Haddad, to ensure gender parity on boards and commissions, provide a case in point."
instead,15,"{""2020"": 2, ""2021"": 4, ""2022"": 2, ""2023"": 2, ""2024"": 1, ""2025"": 1, ""2026"": 3}",6,"Instead, the digital services tax is part of a much larger trend, with countries over the past few years proposing or putting in place an alphabet soup of new international tax provisions."
name,15,"{""2020"": 2, ""2021"": 1, ""2022"": 2, ""2023"": 1, ""2024"": 6, ""2025"": 2, ""2026"": 1}",2,The founders deliberately focused their projects around light—hence the visual studies in the name.
age,15,"{""2020"": 1, ""2021"": 5, ""2022"": 4, ""2025"": 2, ""2026"": 3}",10,"As many took on the duty of trying to integrate reasoning and scientific philosophies into the world, the Renaissance was over and it was time for a new era - the Age of Reason."
essay,15,"{""2020"": 3, ""2021"": 2, ""2022"": 2, ""2023"": 2, ""2024"": 2, ""2025"": 2, ""2026"": 2}",3,"Such actions to seek knowledge and to understand what information we already knew were captured by the Latin phrase 'sapere aude' or 'dare to know', after Immanuel Kant used it in his essay An Answer to the Question: What is Enlightenment?."
program,15,"{""2021"": 11, ""2022"": 1, ""2024"": 2, ""2026"": 1}",5,"In 2007, Indonesia started phasing in a program that gives money to its poorest residents under certain conditions, such as requiring people to keep kids in school or get regular medical care."
human,15,"{""2021"": 3, ""2022"": 1, ""2023"": 1, ""2025"": 2, ""2026"": 8}",7,They are noting that the Victorians suddenly seem to become more human as the hundred-or-so years that separate us fade away through our common experience of laughter.
don't,14,"{""2020"": 1, ""2021"": 2, ""2022"": 3, ""2023"": 1, ""2024"": 1, ""2025"": 2, ""2026"": 4}",0,
put,14,"{""2020"": 1, ""2021"": 1, ""2022"": 1, ""2023"": 2, ""2024"": 2, ""2025"": 3, ""2026"": 4}",7,"In New Hampshire, where the rental vacancy rate has dropped below 1 percent, housing advocates fear unchecked short-term rentals will put further pressure on an already strained market."
see,14,"{""2020"": 1, ""2021"": 3, ""2023"": 1, ""2024"": 5, ""2025"": 1, ""2026"": 3}",8,"Some might see the proposal as a booby prize for the fact that Britain is no longer able to apply for the much more prestigious title of European capital of culture, a sought-after award bagged by Glasgow in 1990 and Liverpool in 2008."
access,14,"{""2020"": 5, ""2021"": 1, ""2022"": 1, ""2024"": 3, ""2025"": 4}",10,"The most drastic, and thoroughly illegal, reaction has been the emergence of Sci-Hub, a kind of global photocopier for scientific papers, set up in 2012, which now claims to offer access to every paywalled article published since 2015."
published,14,"{""2020"": 2, ""2022"": 1, ""2023"": 4, ""2024"": 2, ""2025"": 2, ""2026"": 3}",10,"The most drastic, and thoroughly illegal, reaction has been the emergence of Sci-Hub, a kind of global photocopier for scientific papers, set up in 2012, which now claims to offer access to every paywalled article published since 2015."
shows,14,"{""2020"": 1, ""2021"": 1, ""2022"": 1, ""2023"": 2, ""2025"": 3, ""2026"": 6}",5,"The success of Sci-Hub, which relies on researchers passing on copies they have themselves legally accessed, shows the legal ecosystem has lost legitimacy among its users and must be transformed so that it works for all participants."
system,14,"{""2020"": 6, ""2021"": 2, ""2022"": 2, ""2024"": 3, ""2025"": 1}",9,Yet the new system has not worked out any cheaper for the universities.
boards,14,"{""2020"": 11, ""2022"": 1, ""2023"": 1, ""2026"": 1}",10,"A pair of bills sponsored by Massachusetts state Senator Jason Lewis and House Speaker Pro Tempore Patricia Haddad, to ensure gender parity on boards and commissions, provide a case in point."
online,14,"{""2020"": 1, ""2021"": 3, ""2024"": 3, ""2025"": 6, ""2026"": 1}",7,"Digital services include everything from providing a platform for selling goods and services online to targeting advertising based on user data, and the tax applies to gross revenue from such services."
picture,14,"{""2020"": 2, ""2021"": 2, ""2022"": 2, ""2023"": 2, ""2024"": 2, ""2025"": 3, ""2026"": 1}",4,"When we look at a face or a picture, our eyes pause on one spot at a time, often on the eyes or mouth."
nature,14,"{""2021"": 1, ""2022"": 7, ""2023"": 1, ""2024"": 2, ""2025"": 3}",10,"Nature gave us lips to conceal our teeth, ran one popular Victorian saying, alluding to the fact that before the birth of proper dentistry, mouths were often in a shocking state of hygiene."
control,14,"{""2021"": 1, ""2022"": 1, ""2023"": 2, ""2024"": 2, ""2025"": 5, ""2026"": 3}",5,By allowing AI to develop content some brand marketers may find that they are losing control over the brand narrative.
citation,14,"{""2023"": 14}",10,"Citation cartels, where journals, authors, and institutions conspire to inflate citation numbers, have existed for a long time."
hard,13,"{""2020"": 4, ""2022"": 1, ""2023"": 3, ""2024"": 1, ""2025"": 4}",8,"It is hard to get right, and requires a remarkable degree of vision, as well as cooperation between city authorities, the private sector, community groups and cultural organisations."
reduce,13,"{""2020"": 3, ""2021"": 6, ""2024"": 2, ""2025"": 1, ""2026"": 1}",7,"Called conditional cash transfers or CCTs, these social assistance programs are designed to reduce inequality and break the cycle of poverty."
likely,13,"{""2020"": 4, ""2021"": 1, ""2022"": 1, ""2023"": 2, ""2024"": 2, ""2025"": 2, ""2026"": 1}",4,"The US Supreme Court frowns on sex-based classifications unless they are designed to address an important policy interest, Because the California law applies to all boards, even where there is no history of prior discrimination, courts are likely to rule that the law violates the constitutional guarantee of equal protection."
open,13,"{""2020"": 4, ""2021"": 2, ""2023"": 1, ""2024"": 5, ""2025"": 1}",9,In Britain the move towards open access publishing has been driven by funding bodies.
four,13,"{""2020"": 1, ""2021"": 2, ""2022"": 3, ""2023"": 2, ""2024"": 3, ""2025"": 1, ""2026"": 1}",4,"When a faculty or department grows from, say, five to 20 members within three or four years, and when the new staff are predominantly young men and women fresh from postgraduate study, they largely define the norms of academic life in that faculty."
become,13,"{""2020"": 2, ""2021"": 4, ""2023"": 2, ""2024"": 1, ""2025"": 2, ""2026"": 2}",5,"A town of culture award could, it is argued, become an annual event, attracting funding and creating jobs."
long,13,"{""2020"": 1, ""2021"": 2, ""2022"": 2, ""2023"": 2, ""2024"": 2, ""2025"": 2, ""2026"": 2}",5,Scientific publishing has long been a licence to print money.
themselves,13,"{""2020"": 1, ""2022"": 3, ""2023"": 1, ""2024"": 2, ""2025"": 4, ""2026"": 2}",8,"The success of Sci-Hub, which relies on researchers passing on copies they have themselves legally accessed, shows the legal ecosystem has lost legitimacy among its users and must be transformed so that it works for all participants."
women,13,"{""2020"": 9, ""2021"": 4}",10,"In order to ensure that elite women have more such opportunities, they have proposed imposing government quotas."
lead,13,"{""2020"": 2, ""2021"": 1, ""2022"": 2, ""2023"": 3, ""2024"": 3, ""2026"": 2}",10,Requiring companies to make gender the primary qualification for board membership will inevitably lead to less experienced private sector boards.
students,13,"{""2020"": 1, ""2021"": 5, ""2022"": 3, ""2023"": 1, ""2025"": 1, ""2026"": 2}",8,"And if the postgraduate student population also grows rapidly and there is loss of a close apprenticeship relationship between faculty members and students, the student culture becomes the chief socializing force for new postgraduate students, with consequences for the intellectual and academic life of the institution—this was seen in America as well as in France, Italy, West Germany, and Japan."
think,13,"{""2021"": 1, ""2022"": 1, ""2023"": 3, ""2024"": 2, ""2025"": 4, ""2026"": 2}",7,"Our studies focused on the impact of zoo experiences on how people think about themselves and nature, and the data points extracted from our studies do not, in any way, discount what is learned in a zoo visit."
