pool,id,year,page,source,stage,word_count,text
en_to_zh,s0659,2026,10,阅读B,,21,"Stand in the shoes of scientists and witness the degree to which breakthroughs emerge from accidents, conflict and sheer mental stamina."
en_to_zh,s0340,2023,10,阅读B,,20,"Two centuries ago, the idea of preserving nature, rather than exploiting it, was a novel one to many US settlers."
en_to_zh,s0424,2024,11,阅读B,,25,They cannot be compared to works of art produced for sale which can be passed from hand to hand and place to place by purchase.
en_to_zh,s0210,2022,6,阅读A,,20,"Light was something that both artists and scientists had an interest in, and therefore could form the basis of collaboration."
en_to_zh,s0126,2021,10,阅读A,,23,Yet the FCC also ended the investigations of broadband providers that imposed data caps on their rivals' streaming services but not their own.
en_to_zh,s0270,2022,11,翻译C,,18,"What was more, many original French dispatches had been preserved in this collection, which I realized was priceless."
en_to_zh,s0032,2020,8,阅读A,,25,But all too often such policies are an insincere form of virtue-signaling that benefits only the most privileged and does little to help average people.
en_to_zh,s0291,2023,5,阅读A,,19,"However, short-term rentals also provide housing for tourists, pointed out Ryan Castle, CEO of a local association of realtors."
en_to_zh,s0655,2026,10,阅读B,,17,"It is undoubtedly true that all work and no play really does make Jack, or Jill, dull."
en_to_zh,s0289,2023,4,阅读A,,26,"We are at a crisis level on the supply of rental housing, said Nick Taylor, executive director of the Workforce Housing Coalition of the Greater Seacoast."
en_to_zh,s0603,2026,6,阅读A,,24,"Opening this week, a book and exhibition curated by Beatty Rubens at the Bodleian in Oxford records how radio changed everyday life from 1922 to 1939."
en_to_zh,s0427,2024,11,阅读B,,22,The context of any exhibit is more important to me than whether the object being displayed is 2000 years old or 2 months old.
en_to_zh,s0103,2021,6,阅读A,,22,"In fact, poverty alleviation and environmental protection are often viewed as conflicting goals, says Paul Ferraro, an economist at Johns Hopkins University."
en_to_zh,s0564,2025,13,翻译C,,17,So is it time to take the Petri dish out of the laboratory and into the garage?
en_to_zh,s0560,2025,13,翻译C,,17,The rise of citizen science has grown alongside the rise of do-it-yourself biology laboratories around the world.
en_to_zh,s0413,2024,9,阅读A,,23,"This narrowing of the regulatory scope was a victory for builders, mining operators and other commercial interests often at odds with environmental rules."
en_to_zh,s0444,2024,13,阅读B,,16,"The African savanna elephant, also known as the African bush elephant, is distributed across 37 African countries."
en_to_zh,s0105,2021,6,阅读A,,22,"There, as people got more money, some of them may have more cleared land for cattle to raise for meat, Ferraro says."
en_to_zh,s0582,2026,4,阅读A,,22,"Looking at these DNA sequences, we get a biological testimony to the environment these animals lived in and the experiences they survived."
en_to_zh,s0590,2026,4,阅读A,,22,"The animals could benefit from more research: Currently, there are no published genomes from donkeys located south of the Equator in Africa."
en_to_zh,s0127,2021,10,阅读A,,24,"On Tuesday, the appeals court unanimously upheld the 2017 order deregulating broadband providers, citing a Supreme Court ruling from 2005 that upheld a similarly deregulatory move."
en_to_zh,s0272,2022,11,翻译C,,22,"His tale of self-improvement and hard work would make a fascinating biography in its own right, but represents something more than that."
en_to_zh,s0670,2026,11,翻译C,,16,Science-based analytical approaches proved remarkably successful in the hunt for German submarines in the Atlantic Ocean.
en_to_zh,s0296,2023,5,阅读A,,29,"The bill requires every rental host to register with the state, mandates they carry insurance, and opens the potential for local taxes on top of a new state levy."
en_to_zh,s0205,2022,6,阅读A,,24,"Fewer artists than scientists responded to the Nature poll, however, several respondents noted that artists do not simply assist scientists with their communication requirements."
en_to_zh,s0188,2022,4,阅读A,,23,"Today, 28 per cent of graduates in the UK are in non-graduate roles, a percentage which is double the average among the OECD countries."
en_to_zh,s0292,2023,5,阅读A,,19,"Short-term rentals themselves are not the crux of the issue, said Keren Hom, an expert on affordable housing policy."
en_to_zh,s0096,2021,4,阅读A,,25,"The Government has pledged to change the law to introduce a minimum service requirement so that, even when strikes occur, services can continue to operate."
en_to_zh,s0298,2023,6,阅读A,,22,"Both of these books are published next week by Penguin Random House (PRH), a company currently involved in a stand-off with Waterstones."
en_to_zh,s0401,2024,7,阅读A,,16,Rutkowski was initially surprised but thought it might be a good way to reach new audiences.
en_to_zh,s0397,2024,7,阅读A,,19,"The tool, along with other popular image-generation AI models, allows anyone to create impressive images based on text prompts."
en_to_zh,s0035,2020,8,阅读A,,17,"In order to ensure that elite women have more such opportunities, they have proposed imposing government quotas."
en_to_zh,s0207,2022,6,阅读A,,15,Such an approach can both prompt new research as well as result in powerful art.
en_to_zh,s0387,2024,5,阅读A,,21,"Another measure could be encouraging friendships between children in different school years, to mirror the unsupervised mixed-age playgroups in hunter-gatherer communities."
en_to_zh,s0443,2024,12,阅读B,,25,What intrinsic factors make the West a suitable home for these artifacts but preclude them from being preserved and displayed by their countries of origin?
en_to_zh,s0604,2026,6,阅读A,,18,"She draws on letters, diaries and fiction, and a 1939 field notebook of verbatim audience research by Winifred Gill."
en_to_zh,s0080,2020,15,翻译C,,19,This very fact embodied the new ways of thinking that swept through Europe during most of the 17th century.
en_to_zh,s0404,2024,7,阅读A,,23,Other artists besides Rutkowski have been surprised by the apparent popularity of their work in text-to-image generators—and some are now fighting back.
en_to_zh,s0111,2021,6,阅读A,,24,"Ferraro suggests the results may transfer to other parts of Asia, due to commonalities such as the importance of growing rice and market access."
en_to_zh,s0381,2024,5,阅读A,,20,"Parenting tips obtained from hunter-gatherers in Africa may be the key to bringing up more contented children, researchers have suggested."
en_to_zh,s0352,2023,11,阅读B,,16,"Perhaps most importantly, these images provided documentary evidence that later made its way to government officials."
en_to_zh,s0246,2022,9,阅读B,,20,"These are mostly students who had no opportunity as children to travel to wilderness areas, wildlife refuges or national parks."
en_to_zh,s0614,2026,7,阅读A,,20,"Some will say the audiobook boom revives it, though I suppose you can then worry about the decline of reading."
en_to_zh,s0326,2023,8,阅读A,,20,"In fact, a listing in Scopus seems to be a criterion to be targeted in this type of citation manipulation."
en_to_zh,s0451,2024,13,阅读B,,20,"Although the cues used by African elephants for long-distance navigation are not yet understood, smell may well play a part."
en_to_zh,s0436,2024,12,阅读B,,18,Ancient art that is displayed in foreign countries by all means should be returned to the original country.
en_to_zh,s0586,2026,4,阅读A,,20,"They then traced how the animals spread across the rest of the continent into Europe and Asia about 2,500 years later."
en_to_zh,s0501,2025,7,阅读A,,28,"In 2017 the association formed the Alliance for Creativity and Entertainment (ACE), an enforcement task force of about 100 detectives circling the globe to help local authorities arrest streaming pirates."
en_to_zh,s0599,2026,6,阅读A,,22,These agencies and other government bodies should dramatically improve incentives to keep our current shows and attract new productions to Los Angeles.
en_to_zh,s0345,2023,10,阅读B,,19,"While veterans of previous expeditions had written at length about stunning sights, these vivid photographs were another thing entirely."
en_to_zh,s0079,2020,15,翻译C,,17,It was with these great revelations that a new kind of philosophy founded in reason was born.
en_to_zh,s0406,2024,7,阅读A,,19,"There is a coalition growing within artist industries to figure out how to tackle or mitigate this, says Ortiz."
en_to_zh,s0271,2022,11,翻译C,,29,"There may have been many spies and intelligence officers during the Napoleonic Wars, but it is usually extremely difficult to find the material they actually provided or worked on."
en_to_zh,s0019,2020,6,阅读A,,25,"Scientific publishers routinely report profit margins approaching 40% on their operations, at a time when the rest of the publishing industry is in an existential crisis."
en_to_zh,s0037,2020,8,阅读A,,25,"The bills are similar to a measure recently adopted in California, which last year became the first state to require gender quotas for private companies."
en_to_zh,s0419,2024,9,阅读A,,27,And so we would call on state lawmakers from Richmond to Albany to consider reviewing their own wetlands protections and see for themselves the enormous stakes involved.
en_to_zh,s0156,2021,14,翻译C,,22,"For example, a high growth rate placed great strains on the existing structures of governance, of administration, and above all of socialization."
en_to_zh,s0480,2025,5,阅读A,,16,"The crisis is here, they said, and we need to cut back on our energy-intensive modelling."
en_to_zh,s0423,2024,11,阅读B,,17,They serve no purpose in a museum in the United States or elsewhere except as curious objects.
en_to_zh,s0295,2023,5,阅读A,,18,"At the end of 2018, Governor Charlie Baker of Massachusetts signed a bill to rein in those potential investor-buyers."
en_to_zh,s0396,2024,7,阅读A,,21,His distinctive style is now one of the most commonly used prompts in the new open-source AI art generator Stable Diffusion.
en_to_zh,s0546,2025,12,阅读B,,16,It swiftly became an obsession as he recovered from a successful operation to remove the cancer.
en_to_zh,s0438,2024,12,阅读B,,16,I would ask that the foreign nations and the original country discuss the terms of transfer.
en_to_zh,s0057,2020,10,阅读A,,22,"In other words, they all share a view that the international tax system has failed to keep up with the current economy."
en_to_zh,s0621,2026,8,阅读A,,18,"In 2022, Swetnam and other scientists teamed up to compile a database of fire-scarred trees from across the continent."
en_to_zh,s0104,2021,6,阅读A,,20,"The only previous study analyzing causality, based on an area in Mexico that had instituted CCTs, supported the traditional view."
en_to_zh,s0520,2025,9,阅读A,,18,"Have you ever stared helplessly at a ZIP disk, thinking: how do I get the files off this?"
en_to_zh,s0220,2022,8,阅读A,,25,"As countless boards and business owners will attest, constraining firms from firing poorly performing, high-earning managers is a handbrake on boosting productivity and overall performance."
en_to_zh,s0011,2020,4,阅读A,,24,They transform the aspirations of the people who live there; they nudge the self-image of the city into a bolder and more optimistic light.
en_to_zh,s0318,2023,8,阅读A,,20,The advent of electronic publishing and authors' need to find outlets for their papers resulted in thousands of new journals.
en_to_zh,s0353,2023,12,翻译C,,39,"For example, AI can be used to analyse what type of advertising content or copy would be appropriate to speak to a specific target customer group by revealing information about trends and preferences through the analysis of big data."
en_to_zh,s0512,2025,9,阅读A,,15,"Libraries and archives have traditionally shouldered the responsibility of organization, preservation, and access to information."
en_to_zh,s0452,2024,13,阅读B,,17,"Elephants are very choosy eaters, but until recently little was known about how they selected their food."
en_to_zh,s0483,2025,5,阅读A,,19,The carbon emissions from technological research are well spent: ultimately this research will safeguard the future of our planet.
en_to_zh,s0620,2026,8,阅读A,,17,"They rid the forest of dead and sick trees, reducing competition and curbing the spread of disease."
en_to_zh,s0219,2022,8,阅读A,,15,But these provisions create difficulties for businesses when applied to highly paid managers and executives.
en_to_zh,s0610,2026,7,阅读A,,36,"In my own book about radio I recorded how, on one drive: I caught up with the news, learnt some 17th-century history, and was startlingly educated by an unpretentious programme on the history of the stethoscope."
en_to_zh,s0117,2021,8,阅读A,,27,"The thought of holding a fixed grin as the camera performed its magical duties was too much to contemplate, and so non-committal blank stare became the norm."
en_to_zh,s0651,2026,10,阅读B,,19,Reading will keep you better informed about the world but it can also improve our tech-shattered ability to concentrate.
en_to_zh,s0718,2024,1,完形重建,,22,"They started out as a novelty feature, but as their use has grown, their benefits have extended within our technologically advanced world."
en_to_zh,s0320,2023,8,阅读A,,17,"In some instances, there is absolutely no relationship between the content of the article and the citations."
en_to_zh,s0310,2023,7,阅读A,,16,"After all, many of the most interesting books in recent years have come from small publishers."
en_to_zh,s0661,2026,10,阅读B,,36,"If, like most business people, you spend your life dashing from office to plane, train to home, boardroom to washroom, what you really need to do is stay in more, sit down — and read a book."
en_to_zh,s0190,2022,5,阅读A,,23,Employers have long seen the advantages of hiring school leavers who often prove themselves to be more committed and loyal employees than graduates.
en_to_zh,s0200,2022,6,阅读A,,28,"Nearly 40% of the roughly 350 people who responded to an accompanying poll said, they had collaborated with artists; and almost all said they would consider doing so in future."
en_to_zh,s0074,2020,15,翻译C,,22,"During the Renaissance, the great minds of Nicolaus Copernicus, Johannes Kepler and Galileo Galilei demonstrated the power of scientific study and discovery."
en_to_zh,s0343,2023,10,阅读B,,22,"The crude technique required educated guesses on exposure times, and involved heavy, awkward equipment—several men had to assist in its transportation."
en_to_zh,s0347,2023,10,阅读B,,24,"Over nearly four months, dozens of men made their way on horseback into Montana and traversed along the Yellowstone River and around Yellowstone Lake."
en_to_zh,s0192,2022,5,阅读A,,20,"For those for whom a degree is the desired route, consider that this may well be the first of many."
en_to_zh,s0380,2024,3,阅读A,,18,Solar panels had few niche uses until they became cheap; now they are transforming the global energy system.
en_to_zh,s0232,2022,8,阅读A,,20,"However, the mechanisms proposed were unwieldy and the Bill was voted down following the change in government later that year."
en_to_zh,s0669,2026,11,翻译C,,14,Battles increasingly depended on new military technologies such as radar and the proximity fuze.
en_to_zh,s0109,2021,6,阅读A,,17,"Typically, if rains are delayed, people may clear land to plant more rice to supplement their harvests."
en_to_zh,s0159,2021,14,翻译C,,35,High growth rates increased the chances for academic innovation; they also weakened the forms and processes by which teachers and students are admitted into a community of scholars during periods of stability or slow growth.
en_to_zh,s0613,2026,7,阅读A,,15,"A hundred years on from Marconi and Reith, is the art of mere listening endangered?"
en_to_zh,s0124,2021,10,阅读A,,21,"A federal appeals court weighed in again Tuesday, but instead of providing a badly needed resolution, it only prolonged the fight."
en_to_zh,s0081,2020,15,翻译C,,33,"As many took on the duty of trying to integrate reasoning and scientific philosophies into the world, the Renaissance was over and it was time for a new era - the Age of Reason."
en_to_zh,s0611,2026,7,阅读A,,15,"With multiple networks and countless podcasts, a smartphone user selects what to hear and when."
en_to_zh,s0431,2024,11,阅读B,,15,"When visiting the Baltimore Museum of Art, I came across a magnificent 15th-century Chinese sculpture."
en_to_zh,s0016,2020,6,阅读A,,29,"Other scientists perform the specialised work of peer review also for free, because it is a central element in the acquisition of status and the production of scientific knowledge."
en_to_zh,s0445,2024,13,阅读B,,15,"They move between a variety of habitats, including forests, grasslands, woodlands, wetlands and agricultural land."
en_to_zh,s0028,2020,6,阅读A,,27,A report last year pointed out that the costs both of subscriptions and of these article preparation costs had been steadily rising at a rate above inflation.
en_to_zh,s0026,2020,6,阅读A,,27,Publishers have responded to the demand that they make their product free to readers by charging their writers fees to cover the costs of preparing an article.
en_to_zh,s0368,2024,3,阅读A,,16,The nail hoard was discovered in 1960 in a four-metre-deep pit covered by two metres of gravel.
en_to_zh,s0377,2024,3,阅读A,,16,I make no apology for being obsessed by a particular feature of these objects: their price.
en_to_zh,s0113,2021,8,阅读A,,16,"People have been surprised to see evidence that Victorians had fun and could, and did, laugh."
en_to_zh,s0036,2020,8,阅读A,,22,"If the bills become law, state boards and commissions will be required to set aside 50 percent of board seats for women by 2022."
en_to_zh,s0622,2026,8,阅读A,,16,Their North American tree-ring fire-scar network (NAFSN) provided the basis for a study published last month.
en_to_zh,s0152,2021,14,翻译C,,26,"The growth of higher education manifests itself in at least three quite different ways, and these in turn have given rise to different sets of problems."
en_to_zh,s0015,2020,6,阅读A,,18,"Scientists need journals in which to publish their research, so they will supply the articles without monetary reward."
en_to_zh,s0178,2022,3,阅读A,,17,"She is proud that several sculptures have even gone on display again, albeit sometimes beneath protective cases."
en_to_zh,s0128,2021,10,阅读A,,39,"But Judge Patricia Millett rightly argued in a concurring opinion that the result is unhinged from the realities of modern broadband service, and said Congress or the Supreme Court could intervene to avoid trapping Internet regulation in technological anachronism."
en_to_zh,s0500,2025,7,阅读A,,32,Rivkin joined the MPA in 2017 after the organization failed five years earlier to build consensus between Hollywood and Silicon Valley to win passage of legislation in Congress aimed at stopping online piracy.
en_to_zh,s0136,2021,12,阅读B,,23,"One company in the UK, Phrasee, claims their software can outperform humans by up to 10 percent when it comes to email open rates."
en_to_zh,s0199,2022,6,阅读A,,28,These were some of the words that Nature readers used to describe their experience of art-science collaborations in a series of articles on partnerships between artists and researchers.
en_to_zh,s0454,2024,13,阅读B,,27,"The volatile chemicals produced by plants can be carried a long way, and they are very characteristic: Each plant or tree has its own particular odor signature."
en_to_zh,s0293,2023,5,阅读A,,15,I think individuals being able to rent out their second home is a good thing.
en_to_zh,s0328,2023,8,阅读A,,15,Red flags include a large number of citations to an article within the first year.
en_to_zh,s0154,2021,14,翻译C,,21,"And third, growth was reflected in changes in the proportion of the relevant age group enrolled in institutions of higher education."
en_to_zh,s0529,2025,11,阅读B,,25,His pictures of a Glanville fritillary rising from the sea-pinks beside the chalk cliffs of Compton Bay on the Isle of Wight are particularly glorious.
en_to_zh,s0088,2021,4,阅读A,,40,"It has become a grimly reliable annual ritual: every January the cost of travelling by train rises, imposing a significant extra burden on those who have no option but to use the rail network to get to work or otherwise."
en_to_zh,s0203,2022,6,阅读A,,17,"Artists help scientists reach a broader audience and make emotional connections that enhance learning, one respondent said."
en_to_zh,s0671,2026,11,翻译C,,12,"As a result, scientists — physicists in particular — found themselves in high demand."
en_to_zh,s0217,2022,7,阅读A,,19,The premise was that the common law of contract lacked sufficient safeguards for workers against arbitrary conduct by management.
en_to_zh,s0031,2020,8,阅读A,,18,Progressives often support diversity mandates as a path to equality and a way to level the playing field.
en_to_zh,s0177,2022,3,阅读A,,18,Van Oosten callsthose chemicals sunscreens because their goal was to prevent further lightdamage and rebuild worn polymer fibers.
en_to_zh,s0665,2026,10,阅读B,,19,"We are living through a golden age of translation too, so you can go anywhere in time or place."
en_to_zh,s0041,2020,8,阅读A,,20,"Female participation on corporate boards may not currently mirror the percentage of women in the general population, but so what?"
en_to_zh,s0547,2025,12,阅读B,,19,"In recent summers, he has travelled the length and breadth of Britain to photograph all 58 native species of butterfly."
en_to_zh,s0170,2022,3,阅读A,,23,"The variety of plastic objects at risk is dizzying: early radios, avant-garde sculptures, celluloid animation stills from Disney films, the first artificial heart."
en_to_zh,s0540,2025,11,阅读B,,17,"They were a symbol of fragile life, of hope and defiance, and something appealed to my soul."
en_to_zh,s0108,2021,6,阅读A,,15,"We see that the program is associated with a 30 percent reduction in deforestation, Ferraro says."
en_to_zh,s0141,2021,12,阅读B,,21,"Domingos says, Improved accuracy Machine learning often provides a more reliable form of statistics which makes data more valuable, says Winston."
en_to_zh,s0010,2020,4,阅读A,,31,The really successful holders of such titles are those that do a great deal more than fill hotel bedrooms and bring in high-profile arts events and good press for a year.
en_to_zh,s0225,2022,8,阅读A,,19,"Because employment protection laws make it costlier to fire an employee, employers are more cautious about hiring new staff."
en_to_zh,s0009,2020,4,阅读A,,29,"A badly run year of culture washes in and out of a place like the tide, bringing prominence for a spell but leaving no lasting benefits to the community."
en_to_zh,s0428,2024,11,阅读B,,21,In many cases the experts have a hard time agreeing on what is the real object and what is a forgery.
en_to_zh,s0196,2022,5,阅读A,,39,"It has been estimated that this generation, due to the pressures of technology, the wish for personal fulfilment and desire for diversity, will work for 17 different employers over the course of their working life and have five different careers."
en_to_zh,s0073,2020,15,翻译C,,21,It turned from God and the authority of the Roman Catholic Church and instead favoured a more humanistic approach to being.
en_to_zh,s0034,2020,8,阅读A,,17,Haddad and Lewis are concerned that more than half the state-government boards are less than 40 percent female.
en_to_zh,s0067,2020,13,阅读B,,24,"When we look at a face or a picture, our eyes pause on one spot at a time, often on the eyes or mouth."
en_to_zh,s0514,2025,9,阅读A,,14,"The result is an embarrassment of historical riches, which brings its own needle-and-haystack problems."
en_to_zh,s0668,2026,11,翻译C,,10,"As the war unfolded, science rapidly assumed a central role."
en_to_zh,s0138,2021,12,阅读B,,22,"Saving customers money Energy companies can use AI to help customers reduce their electricity bills, saving them money while helping the environment."
en_to_zh,s0150,2021,14,翻译C,,38,"But after the war, great social and political changes arising out of the successful war against Fascism created a growing demand in European and American economies for increasing numbers of graduates with more than a secondary school education."
en_to_zh,s0122,2021,10,阅读A,,34,"From the early days of broadband, advocates for consumers and web-based companies worried that the cable and phone companies selling broadband connections had the power and incentive to favor affiliated websites over their rivals'."
en_to_zh,s0182,2022,3,阅读A,,42,"Joana Lia Ferreira, an assistant professor of conservation and restoration at the NOVA School of Science and Technology, notes that archaeologists first defined the great material ages of human history—Stone Age, Iron Age, and so on—after examining artifacts in museums."
en_to_zh,s0227,2022,8,阅读A,,16,And firms pay staff less because firms carry the burden of the employment arrangement going wrong.
en_to_zh,s0065,2020,13,阅读B,,29,"With the use of eye-tracking technology, Minson of the Harvard Kennedy School of Government concluded that eye contact can signal very different kinds of messages, depending on the situation."
en_to_zh,s0218,2022,7,阅读A,,15,Long gone are the days when a boss could simply give an employee contractual notice.
en_to_zh,s0055,2020,10,阅读A,,20,"At the same time, the European Union, Spain, Britain and several other countries have all seriously contemplated digital services taxes."
en_to_zh,s0003,2020,4,阅读A,,26,"A group of Labour MPs, among them Yvette Cooper, are bringing in the new year with a call to institute a UK town of culture award."
en_to_zh,s0708,2023,1,完形重建,,26,"The term caravan was used to describe groups of people who travelled together across the ancient network for safety reasons, such as merchants, travellers or pilgrims."
en_to_zh,s0349,2023,10,阅读B,,32,"In addition to the entourage of scientists, the team also included artists: Painter Thomas Moran and photographer Jackson were charged with capturing this astounding natural beauty and sharing it with the world."
en_to_zh,s0245,2022,9,阅读B,,25,The zoology program at my university attracts students for whom zoo visits were the crucial formative experience that led them to major in biological sciences.
en_to_zh,s0341,2023,10,阅读B,,29,One of the turning points in public support for land conservation efforts—and recognizing the magnificence of the Yellowstone region in particular—came in the form of vivid photographs.
en_to_zh,s0059,2020,12,阅读B,,20,"In a social situation, eye contact with another person can show that you are paying attention in a friendly way."
en_to_zh,s0555,2025,13,翻译C,,13,"Anyone can be a citizen scientist, regardless of age, nationality or academic experience."
en_to_zh,s0013,2020,4,阅读A,,16,"Jeremy Wright, the culture secretary, should welcome this positive, hope-filled proposal, and tum it into action."
en_to_zh,s0195,2022,5,阅读A,,15,"When more and more of us have a degree, it makes sense to have two."
en_to_zh,s0120,2021,8,阅读A,,30,"A flashing set of healthy and clean, regular 'pearly whites' was a rare sight in Victorian society, the preserve of the super-rich (and even then, dental hygiene was not guaranteed)."
en_to_zh,s0090,2021,4,阅读A,,21,"Why, the argument goes, should a car-driving pensioner from Lincolnshire have to subsidise the daily commute of a stockbroker from Surrey?"
en_to_zh,s0064,2020,12,阅读B,,19,"This was also found in high-functioning men with some autistic spectrum symptoms, who may tend to avoid eye contact."
en_to_zh,s0605,2026,7,阅读A,,13,A cartoon mocks a group failing to converse because they're all in headphones.
en_to_zh,s0069,2020,13,阅读B,,21,How the whole image is then assembled and perceived is still a mystery although it is the subject of current research.
en_to_zh,s0600,2026,6,阅读A,,13,The pioneers of wireless saw it as a gift to all the people.
en_to_zh,s0005,2020,4,阅读A,,18,"A town of culture award could, it is argued, become an annual event, attracting funding and creating jobs."
en_to_zh,s0148,2021,13,阅读B,,33,"Before, they might not insure the ones who felt like a high risk or charge them too much, or they would charge them too little and then it would cost the company money."
en_to_zh,s0070,2020,13,阅读B,,35,"In people who score high in a test of neuroticism, a personality dimension associated with self-consciousness and anxiety, eye contact triggered more activity associated with avoidance, according to the Finnish researcher Jari Hietanen and colleagues."
en_to_zh,s0231,2022,8,阅读A,,22,"In New Zealand, a 2016 private members' Bill tried to permit firms and high-income employees to contract out of the unjustified dismissal regime."
en_to_zh,s0145,2021,13,阅读B,,15,"One accounting firm, BY, uses an AI system that helps review contracts during an audit."
en_to_zh,s0100,2021,5,阅读A,,21,"Called conditional cash transfers or CCTs, these social assistance programs are designed to reduce inequality and break the cycle of poverty."
en_to_zh,s0634,2026,9,阅读A,,11,I have yet to meet a chief executive who reads regularly.
en_to_zh,s0131,2021,12,阅读B,,28,A recent survey of manufacturing and service industries from Tata Consultancy Services found that companies currently use AI more often in computer-to-computer activities than in automating human activities.
en_to_zh,s0140,2021,12,阅读B,,15,"Insurance companies, meanwhile, can base their premiums on AI models that more accurately assess risk."
en_to_zh,s0213,2022,6,阅读A,,19,"Artists and scientists alike are immersed in discovery and invention, and challenge and critique are core to both, too."
en_to_zh,s0208,2022,6,阅读A,,27,"More than half a century ago, the Massachusetts Institute of Technology opened its Center for Advanced Visual Studies (CAVS) to explore the role of technology in culture."
en_to_zh,s0261,2022,10,阅读B,,21,"While animals in captivity deserve sympathy, zoos play a significant role in starting young people down the path of related sciences."
en_to_zh,s0519,2025,9,阅读A,,12,"As technology advances and a format becomes obsolete, the object is useless."
en_to_zh,s0043,2020,8,阅读A,,21,"According to a study by Catalyst, between 2010 and 2015 the share of women on the boards of global corporations increased by 54 percent."
zh_to_en,s0092,2021,4,阅读A,,18,"However, over the past 12 months, those commuters have also experienced some of the worst rail strikes in years."
zh_to_en,s0112,2021,8,阅读A,,20,"I've found quite a few, and—since I started posting them on Twitter—they have been causing quite a stir."
zh_to_en,s0430,2024,11,阅读B,,15,The monetary value of the objects on display is a distant second place in importance.
zh_to_en,s0552,2025,13,翻译C,,14,Citizen science provides an opportunity for greater public engagement and the democratisation of science.
zh_to_en,s0017,2020,6,阅读A,,19,"With the content of papers secured for free, the publisher needs only to find a market for its journal."
zh_to_en,s0263,2022,10,阅读B,,16,"For wild animals that cannot be returned to their natural habitats, zoos offer the best alternative."
zh_to_en,s0606,2026,7,阅读A,,10,People report that broadcast music made workmen whistle new tunes.
zh_to_en,s0102,2021,5,阅读A,,18,"In Indonesia, the program has provided enough food and medicine to substantially reduce severe growth problems among children."
zh_to_en,s0197,2022,5,阅读A,,22,Older generations often talk about their degree in the present and personal tense: 'I am a geographer' or 'I am a classicist'.
zh_to_en,s0510,2025,9,阅读A,,10,The thing itself is the medium that delivers the information.
zh_to_en,s0460,2024,14,翻译C,,12,Free-ranging elephants presumably also use this information to locate their preferred food.
zh_to_en,s0259,2022,10,阅读B,,17,Zoos which spare no effort to take care of animals should not be subjected to unfair criticism.
zh_to_en,s0044,2020,8,阅读A,,20,Requiring companies to make gender the primary qualification for board membership will inevitably lead to less experienced private sector boards.
zh_to_en,s0653,2026,10,阅读B,,14,"Different parts of our brain engage as we simulate scenes, characters and mental states."
zh_to_en,s0455,2024,13,阅读B,,14,"What is more, they can be detected even when they are not actually visible."
zh_to_en,s0474,2025,3,阅读A,,10,But could the results be replicated with any old dramatist?
